2021-07-02 10:02:49.8326||DEBUG|Configuration.Program|init main |url: |action: 
2021-07-02 10:02:54.3460|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-07-02 11:06:04.2872||DEBUG|Configuration.Program|init main |url: |action: 
2021-07-02 11:06:09.3085|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-07-02 12:26:50.6061||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Starting |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 12:26:51.9999||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Completed successfully |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 12:27:04.6636||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Starting |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 12:27:04.6636||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Completed successfully |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:03:19.1228||DEBUG|Configuration.Program|init main |url: |action: 
2021-07-02 14:03:23.0881|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-07-02 14:05:07.3718||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Starting |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:05:07.7773||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Completed successfully |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:05:18.3197||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Starting |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:05:18.3376||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Completed successfully |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:05:28.1509||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Starting |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:05:28.1509||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Completed successfully |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:05:35.6082||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Starting |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:05:35.6082||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Completed successfully |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:05:41.9167||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Starting |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:05:41.9167||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Completed successfully |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:05:48.2148||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Starting |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:05:48.2148||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Completed successfully |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:05:55.8697||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Starting |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:05:55.8797||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Completed successfully |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:06:01.9473||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Starting |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:06:01.9473||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Completed successfully |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:06:09.3005||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Starting |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:06:09.3128||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Completed successfully |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:06:16.0740||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Starting |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:06:16.0740||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Completed successfully |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:06:22.7775||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Starting |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:06:22.7775||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Completed successfully |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:06:30.3677||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Starting |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:06:30.3677||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Completed successfully |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:06:38.3602||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Starting |url: http://localhost/api/Settings/POST|action: POST
2021-07-02 14:06:38.3694||INFO|Framework.Configuration.API.Command.SettingsController|Settings POST Completed successfully |url: http://localhost/api/Settings/POST|action: POST
