2021-08-20 07:41:22.1663||DEBUG|Configuration.Program|init main |url: |action: 
2021-08-20 07:41:32.2762|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-08-20 08:46:46.5800||DEBUG|Configuration.Program|init main |url: |action: 
2021-08-20 08:46:52.6396|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-08-20 11:52:54.4846||DEBUG|Configuration.Program|init main |url: |action: 
2021-08-20 11:53:11.5678|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-08-20 15:39:49.9323||DEBUG|Configuration.Program|init main |url: |action: 
2021-08-20 15:39:54.2313|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-08-20 17:12:23.3277||DEBUG|Configuration.Program|init main |url: |action: 
2021-08-20 17:12:28.1374|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
