2021-07-22 09:48:34.9173||DEBUG|Configuration.Program|init main |url: |action: 
2021-07-22 09:48:38.7834|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-07-22 12:05:35.1037||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Starting |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:05:35.2707||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Completed successfully |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:05:45.5545||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Starting |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:05:45.5623||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Completed successfully |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:05:54.4712||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Starting |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:05:54.4712||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Completed successfully |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:06:03.5175||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Starting |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:06:03.5175||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Completed successfully |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:06:10.9462||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Starting |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:06:10.9555||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Completed successfully |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:06:19.5273||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Starting |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:06:19.5347||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Completed successfully |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:06:29.4037||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Starting |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:06:29.4096||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Completed successfully |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:06:39.7429||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Starting |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:06:39.7576||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Completed successfully |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:06:46.7055||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Starting |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:06:46.7055||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Completed successfully |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:06:53.7598||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Starting |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:06:53.7666||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Completed successfully |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:07:29.9576||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Starting |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:07:29.9689||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Completed successfully |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:08:03.9111||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Starting |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:08:03.9111||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Completed successfully |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:08:13.7143||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Starting |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:08:13.7206||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Completed successfully |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:08:23.5406||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Starting |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:08:23.5406||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Completed successfully |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:08:31.3144||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Starting |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-22 12:08:31.3144||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Completed successfully |url: http://localhost/api/AppSettings/POST|action: POST
