2021-07-29 09:03:00.1071||DEBUG|Configuration.Program|init main |url: |action: 
2021-07-29 09:03:15.0881|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-07-29 09:06:40.9734||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Starting |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-29 09:06:41.1451||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Completed successfully |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-29 09:07:17.7003||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Starting |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-29 09:07:17.7003||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Completed successfully |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-29 09:08:08.5288||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Starting |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-29 09:08:08.5288||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Completed successfully |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-29 09:08:44.7584||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Starting |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-29 09:08:44.7694||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Completed successfully |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-29 09:09:18.3542||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Starting |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-29 09:09:18.3626||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Completed successfully |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-29 09:09:46.8790||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Starting |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-29 09:09:46.8883||INFO|Framework.Configuration.API.Command.AppSettingsController|Settings POST Completed successfully |url: http://localhost/api/AppSettings/POST|action: POST
2021-07-29 09:15:54.7949||DEBUG|Configuration.Program|init main |url: |action: 
2021-07-29 09:16:01.6082|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-07-29 09:34:00.5790||DEBUG|Configuration.Program|init main |url: |action: 
2021-07-29 09:34:05.0295|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-07-29 10:03:59.5919||DEBUG|Configuration.Program|init main |url: |action: 
2021-07-29 10:04:06.3392|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-07-29 10:29:07.1094||DEBUG|Configuration.Program|init main |url: |action: 
2021-07-29 10:29:11.8662|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-07-29 10:37:49.0520||DEBUG|Configuration.Program|init main |url: |action: 
2021-07-29 10:37:52.4106|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-07-29 10:44:09.6245||DEBUG|Configuration.Program|init main |url: |action: 
2021-07-29 10:44:13.7684|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-07-29 10:50:10.2911||DEBUG|Configuration.Program|init main |url: |action: 
2021-07-29 10:50:15.6644|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-07-29 11:03:18.8348||DEBUG|Configuration.Program|init main |url: |action: 
