2021-08-17 09:03:10.6079||DEBUG|Configuration.Program|init main |url: |action: 
2021-08-17 09:03:13.7281|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-08-17 09:03:39.6734||DEBUG|Configuration.Program|init main |url: |action: 
2021-08-17 09:03:41.0439|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-08-17 09:05:35.2971||DEBUG|Configuration.Program|init main |url: |action: 
2021-08-17 09:05:36.6400|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-08-17 09:14:19.2780||DEBUG|Configuration.Program|init main |url: |action: 
2021-08-17 09:14:20.9346|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-08-17 09:25:32.3195||DEBUG|Configuration.Program|init main |url: |action: 
2021-08-17 09:25:33.8143|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-08-17 10:02:17.8211||DEBUG|Configuration.Program|init main |url: |action: 
2021-08-17 10:02:25.3139|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-08-17 11:42:16.2265||DEBUG|Configuration.Program|init main |url: |action: 
2021-08-17 11:42:18.9072|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-08-17 11:43:19.8249||DEBUG|Configuration.Program|init main |url: |action: 
2021-08-17 11:43:24.0045|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-08-17 14:26:38.8370||DEBUG|Configuration.Program|init main |url: |action: 
2021-08-17 14:26:43.7526|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-08-17 15:47:50.5378||ERROR|Framework.Configuration.API.Queries.SysSettingsQueryController|Value cannot be null. (Parameter 'source') |url: http://localhost/api/SysSettingsQuery/GetSingleValueByKey|action: GetSingleValueByKey
2021-08-17 15:47:54.2925||ERROR|Framework.Configuration.API.Queries.SysSettingsQueryController|Value cannot be null. (Parameter 'source') |url: http://localhost/api/SysSettingsQuery/GetSingleValueByKey|action: GetSingleValueByKey
2021-08-17 15:51:44.5675||DEBUG|Configuration.Program|init main |url: |action: 
2021-08-17 15:51:48.2727|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-08-17 15:53:49.4691||ERROR|Framework.Configuration.API.Queries.SysSettingsQueryController|Value cannot be null. (Parameter 'source') |url: http://localhost/api/SysSettingsQuery/GetSingleValueByKey|action: GetSingleValueByKey
2021-08-17 15:56:11.4432||DEBUG|Configuration.Program|init main |url: |action: 
2021-08-17 15:56:15.4286|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-08-17 16:08:25.7409||DEBUG|Configuration.Program|init main |url: |action: 
2021-08-17 16:08:28.2821|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-08-17 18:21:40.0842||DEBUG|Configuration.Program|init main |url: |action: 
2021-08-17 18:21:44.0602|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-08-17 18:44:44.2107||DEBUG|Configuration.Program|init main |url: |action: 
2021-08-17 18:44:49.6130|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
2021-08-17 19:33:02.4760||DEBUG|Configuration.Program|init main |url: |action: 
2021-08-17 19:33:07.4150|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/Swagger|action: 
